Dynamic iShares Active Global Financial Services ETF | DXF | Volume: 56 | Value: 23.35 | Open: 0.00 | High: 0.00 | SharesOut.: 475000 | Beta: -0.369 | Prev.Close: 23.35 | Low: 0.00 | MarketCap: 11091250 | VWAP: N/A | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 18.000 | EPS: N/A | Yield: 1.713 | Ex-DivDate: 06/25/2018 | P/BRatio: 1.690 | Exchange: TSX | 
Dynamic iShares Active Investment Grade Floating Rate ETF | DXV | Volume: 2800 | Value: 19.95 | Open: 19.95 | High: 19.95 | SharesOut.: 750000 | Beta: -0.111 | Prev.Close: 19.97 | Low: 19.95 | MarketCap: 14962500 | VWAP: 19.95 | Dividend: 0.039CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.346 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
Dynamic iShares Active Preferred Shares ETF | DXP | Volume: 9868 | Value: 21.93 | Open: 21.96 | High: 21.96 | SharesOut.: 23800000 | Beta: 0.129 | Prev.Close: 21.93 | Low: 21.89 | MarketCap: 521934000 | VWAP: 21.908681 | Dividend: 0.072CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 3.876 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
Dynamic iShares Active Tactical Bond ETF | DXB | Volume: 100 | Value: 19.91 | Open: 19.91 | High: 19.91 | SharesOut.: 6000000 | Beta: 0.129 | Prev.Close: 19.87 | Low: 19.91 | MarketCap: 119460000 | VWAP: 19.91 | Dividend: 0.042CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 2.687 | Ex-DivDate: 06/25/2018 | P/BRatio: N/A | Exchange: TSX | 
Dynamic iShares Active U.S. Dividend ETF | DXU | Volume: 2121 | Value: 27.40 | Open: 27.61 | High: 27.62 | SharesOut.: 2350000 | Beta: 0.228 | Prev.Close: 27.59 | Low: 27.40 | MarketCap: 64390000 | VWAP: 27.502857 | Dividend: 0.026CAD | Div.Frequency: Monthly | P/ERatio: 38.300 | EPS: N/A | Yield: 0.096 | Ex-DivDate: 12/28/2017 | P/BRatio: 5.310 | Exchange: TSX | 
Dynamic iShares Active U.S. Mid-Cap ETF | DXZ | Volume: 0 | Value: 24.10 | Open: N/A | High: N/A | SharesOut.: 225000 | Beta: 0.407 | Prev.Close: 24.10 | Low: N/A | MarketCap: 5422500 | VWAP: N/A | Dividend: 0.032CAD | Div.Frequency: Annual | P/ERatio: 27.600 | EPS: N/A | Yield: 0.131 | Ex-DivDate: 12/28/2017 | P/BRatio: 3.400 | Exchange: TSX | 
Evolve Active Canadian Preferred Share ETF | DIVS | Volume: 1810 | Value: 20.70 | Open: 20.72 | High: 20.72 | SharesOut.: 3475000 | Beta: 0.045 | Prev.Close: 20.72 | Low: 20.70 | MarketCap: 71932500 | VWAP: 20.715556 | Dividend: 0.070CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: N/A | Yield: 4.058 | Ex-DivDate: 06/21/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Diversified Convertible Debenture Fund | DCD.UN | Volume: 1300 | Value: 13.66 | Open: 13.66 | High: 13.66 | SharesOut.: 2159085 | Beta: 0.456 | Prev.Close: 13.65 | Low: 13.66 | MarketCap: 29493101 | VWAP: 13.66 | Dividend: 0.220CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: 1.580000 | Yield: 6.442 | Ex-DivDate: 06/28/2018 | P/BRatio: N/A | Exchange: TSX | 
First Asset Morningstar Canada Dividend Target 30 Index ETF | DXM | Volume: 2009 | Value: 10.25 | Open: 10.25 | High: 10.25 | SharesOut.: 1930219 | Beta: 1.044 | Prev.Close: 10.26 | Low: 10.25 | MarketCap: 19784745 | VWAP: 10.25 | Dividend: 0.106CAD | Div.Frequency: Quarterly | P/ERatio: 16.400 | EPS: N/A | Yield: 3.911 | Ex-DivDate: 06/22/2018 | P/BRatio: 1.820 | Exchange: TSX | 
Horizons US Dollar Currency ETF | DLR | Volume: 218222 | Value: 13.34 | Open: 13.28 | High: 13.36 | SharesOut.: 5455654 | Beta: -0.378 | Prev.Close: 13.28 | Low: 13.25 | MarketCap: 72778424 | VWAP: 13.298198 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Medical Facilities Corporation | DR | Volume: 211170 | Value: 14.58 | Open: 14.37 | High: 14.74 | SharesOut.: 30983257 | Beta: 0.666 | Prev.Close: 14.39 | Low: 14.37 | MarketCap: 451735887 | VWAP: 14.601799 | Dividend: 0.094CAD | Div.Frequency: Monthly | P/ERatio: 13.400 | EPS: 0.870000 | Yield: 7.716 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.442 | Exchange: TSX | 
Star Diamond Corporation | DIAM | Volume: 273860 | Value: 0.17 | Open: 0.175 | High: 0.175 | SharesOut.: 380560424 | Beta: 0.743 | Prev.Close: 0.175 | Low: 0.17 | MarketCap: 64695272 | VWAP: 0.172194 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 1.400 | EPS: 0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.944 | Exchange: TSX | 
WisdomTree Canada Quality Dividend Growth Index ETF | DGRC | Volume: 0 | Value: 27.31 | Open: N/A | High: N/A | SharesOut.: 1300000 | Beta: 0.715 | Prev.Close: 27.31 | Low: N/A | MarketCap: 35503000 | VWAP: N/A | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 14.600 | EPS: N/A | Yield: 0.684 | Ex-DivDate: 06/28/2018 | P/BRatio: 2.510 | Exchange: TSX | 
WisdomTree International Quality Dividend Growth Variably Hedged Index ETF | DQI | Volume: 1400 | Value: 24.00 | Open: 23.94 | High: 24.02 | SharesOut.: 900000 | Beta: 0.454 | Prev.Close: 23.92 | Low: 23.94 | MarketCap: 21600000 | VWAP: 23.98 | Dividend: 0.060CAD | Div.Frequency: Quarterly | P/ERatio: 16.000 | EPS: N/A | Yield: 1.000 | Ex-DivDate: 06/28/2018 | P/BRatio: 3.980 | Exchange: TSX | 
WisdomTree U.S. Quality Dividend Growth Index ETF | DGR | Volume: 1925 | Value: 25.10 | Open: 25.02 | High: 25.30 | SharesOut.: 804175 | Beta: 0.425 | Prev.Close: 25.25 | Low: 25.02 | MarketCap: 20184793 | VWAP: 25.173684 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: 21.800 | EPS: N/A | Yield: 0.479 | Ex-DivDate: 06/28/2018 | P/BRatio: 4.180 | Exchange: TSX | 
WisdomTree U.S. Quality Dividend Growth Variably Hedged Index ETF | DQD | Volume: 1600 | Value: 25.34 | Open: 25.56 | High: 25.56 | SharesOut.: 1000000 | Beta: 0.797 | Prev.Close: 25.55 | Low: 25.34 | MarketCap: 25340000 | VWAP: 25.45 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: 21.800 | EPS: N/A | Yield: 0.434 | Ex-DivDate: 06/28/2018 | P/BRatio: 4.180 | Exchange: TSX | 
