SouthGobi Resources Ltd. | SGQ | Volume: 0 | Value: 0.16 | Open: N/A | High: N/A | SharesOut.: 272648738 | Beta: 0.472 | Prev.Close: 0.16 | Low: N/A | MarketCap: 43623798 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.150000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 16.000 | Exchange: TSX | 
Spectra7 Microsystems Inc. | SEV | Volume: 97270 | Value: 0.125 | Open: 0.12 | High: 0.125 | SharesOut.: 172465672 | Beta: 0.136 | Prev.Close: 0.12 | Low: 0.12 | MarketCap: 21558209 | VWAP: 0.121289 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.100000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: -4.167 | Exchange: TSX | 
Spectral Medical Inc. | EDT | Volume: 69637 | Value: 0.36 | Open: 0.38 | High: 0.38 | SharesOut.: 225491183 | Beta: 2.568 | Prev.Close: 0.34 | Low: 0.36 | MarketCap: 81176826 | VWAP: 0.367574 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 36.000 | Exchange: TSX | 
Sphere FTSE Canada Sustainable Yield Index ETF | SHC | Volume: 500 | Value: 12.09 | Open: 12.09 | High: 12.09 | SharesOut.: 1017519 | Beta: 1.000 | Prev.Close: 12.08 | Low: 12.09 | MarketCap: 12301805 | VWAP: 12.09 | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 15.000 | EPS: N/A | Yield: 3.652 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.710 | Exchange: TSX | 
Sphere FTSE Emerging Markets Sustainable Yield Index ETF | SHZ | Volume: 33 | Value: 10.31 | Open: 0.00 | High: 0.00 | SharesOut.: 3000000 | Beta: -0.397 | Prev.Close: 10.31 | Low: 0.00 | MarketCap: 30930000 | VWAP: N/A | Dividend: 0.065CAD | Div.Frequency: Quarterly | P/ERatio: 10.600 | EPS: N/A | Yield: 3.758 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.400 | Exchange: TSX | 
Sphere FTSE Europe Sustainable Yield Index ETF | SHE | Volume: 0 | Value: 10.89 | Open: N/A | High: N/A | SharesOut.: 1600000 | Beta: 0.572 | Prev.Close: 10.89 | Low: N/A | MarketCap: 17424000 | VWAP: N/A | Dividend: 0.100CAD | Div.Frequency: Quarterly | P/ERatio: 11.700 | EPS: N/A | Yield: 3.991 | Ex-DivDate: 06/21/2018 | P/BRatio: 1.530 | Exchange: TSX | 
Spin Master Corp. | TOY | Volume: 135799 | Value: 58.10 | Open: 58.84 | High: 58.90 | SharesOut.: 28129939 | Beta: 0.299 | Prev.Close: 58.87 | Low: 57.66 | MarketCap: 1634349456 | VWAP: 58.178526 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 29.600 | EPS: 2.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 8.711 | Exchange: TSX | 
Sprott Inc. | SII | Volume: 83819 | Value: 3.10 | Open: 3.11 | High: 3.13 | SharesOut.: 251783140 | Beta: 0.172 | Prev.Close: 3.10 | Low: 3.10 | MarketCap: 780527734 | VWAP: 3.115472 | Dividend: 0.030CAD | Div.Frequency: Quarterly | P/ERatio: 16.300 | EPS: 0.160000 | Yield: 3.871 | Ex-DivDate: 05/17/2018 | P/BRatio: 2.039 | Exchange: TSX | 
Sprott Physical Gold and Silver Trust | CEF | Volume: 4006 | Value: 16.80 | Open: 16.86 | High: 16.87 | SharesOut.: 252116003 | Beta: -0.075 | Prev.Close: 16.86 | Low: 16.76 | MarketCap: 4235548850 | VWAP: 16.813158 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.065 | Exchange: TSX | 
Sprott Physical Gold Trust | PHYS | Volume: 2412 | Value: 13.53 | Open: 13.60 | High: 13.60 | SharesOut.: 209158279 | Beta: -0.379 | Prev.Close: 13.60 | Low: 13.53 | MarketCap: 2829911515 | VWAP: 13.5925 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.360000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.240 | Exchange: TSX | 
Sprott Physical Platinum and Palladium Trust | SPPP | Volume: 0 | Value: 10.95 | Open: N/A | High: N/A | SharesOut.: 12276670 | Beta: -0.827 | Prev.Close: 10.95 | Low: N/A | MarketCap: 134429537 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.950 | Exchange: TSX | 
Sprott Physical Silver Trust | PSLV | Volume: 2031 | Value: 7.75 | Open: 7.79 | High: 7.79 | SharesOut.: 150497793 | Beta: -0.107 | Prev.Close: 7.88 | Low: 7.75 | MarketCap: 1166357896 | VWAP: 7.76 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.950 | Exchange: TSX | 
Sprott Resource Holdings Inc. | SRHI | Volume: 2079500 | Value: 0.115 | Open: 0.11 | High: 0.115 | SharesOut.: 681680846 | Beta: 2.094 | Prev.Close: 0.12 | Low: 0.11 | MarketCap: 78393297 | VWAP: 0.110007 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.07 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.719 | Exchange: TSX | 
SSR Mining Inc. | SSRM | Volume: 123820 | Value: 12.97 | Open: 12.98 | High: 13.11 | SharesOut.: 119990398 | Beta: 2.155 | Prev.Close: 13.05 | Low: 12.90 | MarketCap: 1556275462 | VWAP: 13.002832 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 22.800 | EPS: 0.75 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.217 | Exchange: TSX | 
