BMTC Group Inc. | GBT | Volume: 600 | Value: 15.04 | Open: 15.23 | High: 15.24 | SharesOut.: 35066300 | Beta: 0.748 | Prev.Close: 15.24 | Low: 15.04 | MarketCap: 527397152 | VWAP: 15.205 | Dividend: 0.140CAD | Div.Frequency: Semi-Annual | P/ERatio: 10.200 | EPS: 1.360000 | Yield: 1.862 | Ex-DivDate: 07/04/2018 | P/BRatio: 2.528 | Exchange: TSX | 
Goodfood Market Corp. | FOOD | Volume: 12650 | Value: 2.54 | Open: 2.47 | High: 2.54 | SharesOut.: 51825245 | Beta: 1.543 | Prev.Close: 2.47 | Low: 2.47 | MarketCap: 131636122 | VWAP: 2.513889 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.220000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 11.545 | Exchange: TSX | 
Gran Colombia Gold Corp. | GCM | Volume: 57576 | Value: 2.85 | Open: 2.85 | High: 2.865 | SharesOut.: 30517744 | Beta: 3.884 | Prev.Close: 2.86 | Low: 2.84 | MarketCap: 86975570 | VWAP: 2.855489 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 1.100 | EPS: 0.240000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.255 | Exchange: TSX | 
Gran Tierra Energy Inc. | GTE | Volume: 1451425 | Value: 4.50 | Open: 4.38 | High: 4.555 | SharesOut.: 385394642 | Beta: 1.395 | Prev.Close: 4.34 | Low: 4.38 | MarketCap: 1734275889 | VWAP: 4.503993 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.080000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.389 | Exchange: TSX | 
Gran Tierra Exchangeco Inc. | GTX | Volume: 6100 | Value: 4.45 | Open: 4.39 | High: 4.45 | SharesOut.: 4219176 | Beta: 1.507 | Prev.Close: 4.30 | Low: 4.39 | MarketCap: 18775333 | VWAP: 4.449016 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Granite Oil Corp. | GXO | Volume: 53300 | Value: 2.90 | Open: 2.86 | High: 2.92 | SharesOut.: 34190652 | Beta: 0.824 | Prev.Close: 2.84 | Low: 2.84 | MarketCap: 99152891 | VWAP: 2.889231 | Dividend: 0.023CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.160000 | Yield: 9.517 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.508 | Exchange: TSX | 
Granite Real Estate Investment Trust | GRT.UN | Volume: 143313 | Value: 53.62 | Open: 54.00 | High: 54.18 | SharesOut.: 45690937 | Beta: 0.178 | Prev.Close: 53.95 | Low: 52.78 | MarketCap: 2449948042 | VWAP: 53.818674 | Dividend: 0.227CAD | Div.Frequency: Monthly | P/ERatio: 6.300 | EPS: N/A | Yield: 5.080 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.129 | Exchange: TSX | 
Great Canadian Gaming Corporation | GC | Volume: 383470 | Value: 48.07 | Open: 47.57 | High: 48.72 | SharesOut.: 60997577 | Beta: 0.980 | Prev.Close: 47.49 | Low: 46.83 | MarketCap: 2932153526 | VWAP: 47.832904 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 30.400 | EPS: 1.570000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.877 | Exchange: TSX | 
Great Panther Silver Limited | GPR | Volume: 23296 | Value: 1.57 | Open: 1.565 | High: 1.58 | SharesOut.: 168653422 | Beta: 3.447 | Prev.Close: 1.575 | Low: 1.56 | MarketCap: 264785873 | VWAP: 1.565603 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 2.453 | Exchange: TSX | 
Great-West Lifeco Inc. | GWO | Volume: 498535 | Value: 32.04 | Open: 32.56 | High: 32.56 | SharesOut.: 988622039 | Beta: 0.832 | Prev.Close: 32.24 | Low: 32.04 | MarketCap: 31675450130 | VWAP: 32.125231 | Dividend: 0.389CAD | Div.Frequency: Quarterly | P/ERatio: 13.900 | EPS: 2.320000 | Yield: 4.856 | Ex-DivDate: 05/31/2018 | P/BRatio: 1.592 | Exchange: TSX | 
Guardian Capital Group Limited | GCG | Volume: 300 | Value: 23.25 | Open: 23.26 | High: 23.26 | SharesOut.: 3218919 | Beta: 1.100 | Prev.Close: 23.69 | Low: 23.25 | MarketCap: 74839867 | VWAP: 23.256667 | Dividend: 0.125CAD | Div.Frequency: Quarterly | P/ERatio: 10.600 | EPS: 3.370000 | Yield: 2.151 | Ex-DivDate: 07/10/2018 | P/BRatio: 1.069 | Exchange: TSX | 
Guyana Goldfields Inc. | GUY | Volume: 304938 | Value: 4.96 | Open: 4.82 | High: 4.99 | SharesOut.: 173310801 | Beta: 2.056 | Prev.Close: 4.83 | Low: 4.82 | MarketCap: 859621573 | VWAP: 4.948531 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 25.400 | EPS: 0.190000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.693 | Exchange: TSX | 
GVIC Communications Corp. | GCT | Volume: 0 | Value: 0.155 | Open: N/A | High: N/A | SharesOut.: 4208345 | Beta: -1.156 | Prev.Close: 0.155 | Low: N/A | MarketCap: 652293 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.010000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.574 | Exchange: TSX | 
Knight Therapeutics Inc. | GUD | Volume: 191348 | Value: 8.00 | Open: 7.97 | High: 8.02 | SharesOut.: 142818883 | Beta: 0.865 | Prev.Close: 7.95 | Low: 7.97 | MarketCap: 1142551064 | VWAP: 7.995003 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 59.800 | EPS: 0.120000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.141 | Exchange: TSX | 
The Green Organic Dutchman Holdings Ltd. | TGOD | Volume: 1016720 | Value: 6.01 | Open: 6.53 | High: 6.58 | SharesOut.: 190611657 | Beta: N/A | Prev.Close: 6.53 | Low: 6.01 | MarketCap: 1145576059 | VWAP: 6.225546 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
U.S. Global GO GOLD and Precious Metal Miners ETF | GOGO | Volume: 0 | Value: 10.65 | Open: N/A | High: N/A | SharesOut.: 500000 | Beta: 0.118 | Prev.Close: 10.65 | Low: N/A | MarketCap: 5325000 | VWAP: N/A | Dividend: 0.009CAD | Div.Frequency: Annual | P/ERatio: 17.000 | EPS: N/A | Yield: 0.085 | Ex-DivDate: 12/29/2017 | P/BRatio: 1.320 | Exchange: TSX | 
